Time,AnaR2,AnaR6,AnaR12,test,Ther_TG_1.0_8.0,UTSR6_TG_0.5_7.0,UTSR6_TG_0.5_7.5,UTSR12_TG_0.5_8.5,UTSR12_TG_0.5_9.0,UTSR2_TG_0.5_4.5,UTSR2_TG_0.5_5.0,XYLR6_TG_1.0_7.0,XYLR6_TG_2.0_7.0,XYLR9_TG_0.5_10.0,XYLR2_TG_0.5_10.0
11/01/2010,,,,,0.431488095,,,,,,,,,,
12/01/2010,20.00000,0.00000,0.00,,0.457202381,,,,,,,,,,
13/01/2010,,,,,0.491547619,,,,,,,,,,
14/01/2010,,,,,0.313988095,,,,,,,,,,
15/01/2010,,,,,0.209166667,,,,,,,,,,
16/01/2010,,,,,0.281309524,,,,,,,,,,
17/01/2010,,,,,0.294464286,,,,,,,,,,
18/01/2010,,,,,0.15327381,,,,,,,,,,
19/01/2010,0.00000,0.00000,0.00,,0.14922619,,,,,,,,,,
20/01/2010,,,,,0.157857143,,,,,,,,,,
21/01/2010,,,,,0.227202381,,,,,,,,,,
22/01/2010,,,,,0.392916667,,,,,,,,,,
23/01/2010,,,,,0.492380952,,,,,,,,,,
24/01/2010,,,,,0.296369048,,,,,,,,,,
25/01/2010,,,,,0.336011905,,,,,,,,,,
26/01/2010,,,,,0.485238095,,,,,,,,,,
27/01/2010,,,,,0.31077381,,,,,,,,,,
28/01/2010,0.00000,0.00000,0.00,,0.28047619,,,,,,,,,,
29/01/2010,,,,,0.197083333,,,,,,,,,,
30/01/2010,,,,,0.203452381,,,,,,,,,,
31/01/2010,,,,,0.160119048,,,,,,,,,,
1/02/2010,,,,,0.133452381,,,,,,,,,,
2/02/2010,0.00000,0.00000,0.00,,0.13,,,,,,,,,,
3/02/2010,,,,,0.132083333,,,,,,,,,,
4/02/2010,,,,,0.126904762,,,,,,,,,,
5/02/2010,,,,,0.16922619,,,,,,,,,,
6/02/2010,,,,,0.155833333,,,,,,,,,,
7/02/2010,,,,,0.14625,,,,,,,,,,
8/02/2010,,,,,0.169107143,,,,,,,,,,
9/02/2010,0.00000,0.00000,0.00,,0.205952381,,,,,,,,,,
10/02/2010,,,,,0.221964286,,,,,,,,,,
11/02/2010,,,,,0.302619048,,,,,,,,,,
12/02/2010,,,,,0.338163265,,,,,,,,,,
13/02/2010,,,,,#N/A,,,,,,,,,,
14/02/2010,,,,,#N/A,,,,,,,,,,
15/02/2010,,,,,#N/A,,,,,,,,,,
16/02/2010,0.00000,0.00000,0.00,,#N/A,,,,,,,,,,
17/02/2010,,,,,#N/A,,,,,,,,,,
18/02/2010,,,,,#N/A,,,,,,,,,,
19/02/2010,,,,,#N/A,,,,,,,,,,
20/02/2010,,,,,#N/A,,,,,,,,,,
21/02/2010,,,,,#N/A,,,,,,,,,,
22/02/2010,,,,,0.2,,,,,,,,,,
23/02/2010,0.00000,0.00000,0.00,,0.193333333,,,,,,,,,,
24/02/2010,,,,,0.138035714,,,,,,,,,,
25/02/2010,,,,,0.132857143,,,,,,,,,,
26/02/2010,,,,,0.152797619,,,,,,,,,,
27/02/2010,,,,,0.233690476,,,,,,,,,,
28/02/2010,,,,,0.33422619,,,,,,,,,,
1/03/2010,0.00000,0.00000,0.00,,0.16875,,,,,,,,,,
2/03/2010,,,,,0.128214286,,,,,,,,,,
3/03/2010,,,,,0.113928571,,,,,,,,,,
4/03/2010,,,,,0.124642857,,,,,,,,,,
5/03/2010,,,,,0.117440476,,,,,,,,,,
6/03/2010,,,,,0.184583333,,,,,,,,,,
7/03/2010,,,,,0.144464286,,,,,,,,,,
8/03/2010,0.00000,,,,0.194880952,,,,,,,,,,
9/03/2010,,0.00000,0.00,,0.15827381,,,,,,,,,,
10/03/2010,,,,,0.115892857,,,,,,,,,,
11/03/2010,,,,,0.113571429,,,,,,,,,,
12/03/2010,,,,,0.119821429,,,,,,,,,,
13/03/2010,,,,,0.111845238,,,,,,,,,,
14/03/2010,,,,,0.133928571,,,,,,,,,,
15/03/2010,0.00000,,,,0.157142857,,,,,,,,,,
16/03/2010,,0.00000,0.00,,0.155238095,,,,,,,,,,
17/03/2010,,,,,0.163154762,,,,,,,,,,
18/03/2010,,,,,0.187261905,,,,,,,,,,
19/03/2010,,,,,0.246785714,,,,,,,,,,
20/03/2010,,,,,0.345119048,,,,,,,,,,
21/03/2010,,,,,0.361428571,,,,,,,,,,
22/03/2010,,,,,0.232321429,,,,,,,,,,
23/03/2010,0.00000,0.00000,0.00,,0.291428571,,,,,,,,,,
24/03/2010,,,,,0.323333333,,,,,,,,,,
25/03/2010,,,,,0.281666667,,,,,,,,,,
26/03/2010,,,,,0.282916667,,,,,,,,,,
27/03/2010,,,,,0.246904762,,,,,,,,,,
28/03/2010,,,,,0.244345238,,,,,,,,,,
29/03/2010,,,,,0.231785714,,,,,,,,,,
30/03/2010,275.00000,0.00000,0.00,,0.173392857,,,,,,,,,,
31/03/2010,,,,,0.109642857,,,,,,,,,,
1/04/2010,,,,,0.114940476,,,,,,,,,,
2/04/2010,,,,,0.107202381,,,,,,,,,,
3/04/2010,,,,,0.110654762,,,,,,,,,,
4/04/2010,,,,,0.111309524,,,,,,,,,,
5/04/2010,,,,,0.120892857,,,,,,,,,,
6/04/2010,0.00000,0.00000,0.00,,0.127559524,,,,,,,,,,
7/04/2010,,,,,0.119464286,,,,,,,,,,
8/04/2010,,,,,0.101607143,,,,,,,,,,
9/04/2010,,,,,0.105416667,,,,,,,,,,
10/04/2010,,,,,0.116785714,,,,,,,,,,
11/04/2010,,,,,0.093511905,,,,,,,,,,
12/04/2010,,,,,0.092619048,,,,,,,,,,
13/04/2010,0.00000,0.00000,0.00,,0.10452381,,,,,,,,,,
14/04/2010,,,,,0.12172619,,,,,,,,,,
15/04/2010,,,,,0.126488095,,,,,,,,,,
16/04/2010,,,,,0.11702381,,,,,,,,,,
17/04/2010,,,,,0.120833333,,,,,,,,,,
